,Track Name,Track ID,Artist Names,Artist IDs,Track Popularity,Date Released,Date Added,track_id,analysis_url,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Kahani Suno 2.0,4VsP4Dm8gsibRxB5I2hEkw,['Kaifi Khalil'],['1n9EM0Y4A89vuRiA93gSS9'],81,2022-05-31,2023-03-01T10:20:49Z,4VsP4Dm8gsibRxB5I2hEkw,https://api.spotify.com/v1/audio-analysis/4VsP4Dm8gsibRxB5I2hEkw,0.909,0.577,173638,0.379,0.000586,11,0.0986,-13.235,1,0.0374,139.585,3,0.26
1,Apna Bana Le,1zhpW0PLYAhzF3X49GaAOX,"['Sachin-Jigar', 'Arijit Singh', 'Amitabh Bhattacharya']","['1mBydYMVBECdDmMfE2sEUO', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",76,2022-12-06,2023-03-01T10:20:49Z,1zhpW0PLYAhzF3X49GaAOX,https://api.spotify.com/v1/audio-analysis/1zhpW0PLYAhzF3X49GaAOX,0.803,0.586,261702,0.562,5.52e-06,9,0.063,-7.399,1,0.0267,93.982,4,0.436
2,Maan Meri Jaan,1418IuVKQPTYqt7QNJ9RXN,['King'],['5NHm4TU5Twz7owibYxJfFU'],85,2022-10-12,2023-03-01T10:20:49Z,1418IuVKQPTYqt7QNJ9RXN,https://api.spotify.com/v1/audio-analysis/1418IuVKQPTYqt7QNJ9RXN,0.354,0.698,194654,0.505,0.0,6,0.0995,-8.242,0,0.0356,95.868,4,0.396
3,Jhoome Jo Pathaan,6FAYpZ4jve8vpvTwUvjK6H,"['Vishal-Shekhar', 'Arijit Singh', 'Sukriti Kakar', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '4YRxDV8wJFPHPTeXepOstw', '3FgHkfb3IqG4WKuVe1xCXM', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-22,2023-03-01T10:20:49Z,6FAYpZ4jve8vpvTwUvjK6H,https://api.spotify.com/v1/audio-analysis/6FAYpZ4jve8vpvTwUvjK6H,0.0964,0.817,208164,0.738,0.0,7,0.331,-7.639,1,0.0748,104.964,4,0.616
4,"Besharam Rang (From ""Pathaan"")",0CtZpaOhtzvLV3FfcsVpQo,"['Vishal-Shekhar', 'Shilpa Rao', 'Caralisa Monteiro', 'Vishal Dadlani', 'Shekhar Ravjiani', 'Kumaar']","['6Mv8GjQa7LKUGCAqa9qqdb', '19LIHDDSHBD5NyYHI3gpzB', '2Yf4MRVpt0rcAd5y5h5ph1', '6CXEwIaXYfVJ84biCxqc9k', '4xd7mLI7urqrxELaXhAvzw', '0m3D4grap8VFSzbJMqgNVk']",82,2022-12-12,2023-03-01T10:20:49Z,0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/audio-analysis/0CtZpaOhtzvLV3FfcsVpQo,0.0587,0.773,258474,0.795,0.00237,8,0.154,-5.537,0,0.0412,115.997,4,0.649
5,Kesariya,4UMIv5jd9gK98a39BQRD9X,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx']",73,2022-10-06,2023-03-01T10:20:49Z,4UMIv5jd9gK98a39BQRD9X,https://api.spotify.com/v1/audio-analysis/4UMIv5jd9gK98a39BQRD9X,0.572,0.577,268165,0.574,0.0,0,0.1,-6.525,1,0.0278,94.009,4,0.436
6,Kali Kali Zulfon Ke (Lo-Fi),7oN0Wo7sCVvXPdpxoio3JM,['Madhur Sharma'],['2kfi47LWmlXzQ3p3kWonfQ'],76,2022-02-05,2023-03-01T10:20:49Z,7oN0Wo7sCVvXPdpxoio3JM,https://api.spotify.com/v1/audio-analysis/7oN0Wo7sCVvXPdpxoio3JM,0.837,0.464,77143,0.491,1.39e-06,7,0.111,-7.039,1,0.0392,76.739,3,0.106
7,Daku,3wz2vWhYnnBoFmgMkqtzLy,"['Chani Nattan', 'Inderpal Moga']","['1sSYaQBOI71QZDZ9OWW3hp', '4Lk9Mory8nRTolPO1TMMcN']",78,2021-01-16,2023-03-01T10:20:49Z,3wz2vWhYnnBoFmgMkqtzLy,https://api.spotify.com/v1/audio-analysis/3wz2vWhYnnBoFmgMkqtzLy,0.325,0.847,131078,0.558,0.0,8,0.135,-5.855,0,0.0663,98.062,4,0.495
8,Tere Pyaar Mein,2ZD4aIEepqZsdxPxLSuUhm,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya', 'Nikhita Gandhi']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx', '3tPQOjkxO3mrYrrgkTeXgH']",77,2023-02-01,2023-03-01T10:20:49Z,2ZD4aIEepqZsdxPxLSuUhm,https://api.spotify.com/v1/audio-analysis/2ZD4aIEepqZsdxPxLSuUhm,0.111,0.679,265108,0.748,0.0,9,0.183,-5.487,0,0.054,118.945,4,0.406
9,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,['King'],['5NHm4TU5Twz7owibYxJfFU'],79,2020-09-21,2023-03-01T10:20:49Z,0yCWDaAgOtg6TKlNCg9rwA,https://api.spotify.com/v1/audio-analysis/0yCWDaAgOtg6TKlNCg9rwA,0.515,0.77,270000,0.84,0.00452,11,0.145,-4.022,1,0.107,96.012,4,0.192
10,Malang Sajna,73K33p4Vyz9koXGqmL5eFs,"['Sachet Tandon', 'Parampara Tandon', 'Kumaar']","['6WOdPJmexxFINcKMkP2jMG', '1E6arsXf5Fgsnv9YpSzjpE', '0m3D4grap8VFSzbJMqgNVk']",74,2022-12-19,2023-03-01T10:20:49Z,73K33p4Vyz9koXGqmL5eFs,https://api.spotify.com/v1/audio-analysis/73K33p4Vyz9koXGqmL5eFs,0.232,0.739,160194,0.716,0.0,10,0.33,-4.964,1,0.037,113.943,4,0.871
11,Vaa Vaathi,0cgwdBXXlPfXJXWf3wMs32,"['G. V. Prakash', 'Shweta Mohan']","['5VVN3xZw1i2qihfITZlvCZ', '1rdQOMFFtoskDXXUVjiGo9']",74,2022-11-10,2023-03-01T10:20:49Z,0cgwdBXXlPfXJXWf3wMs32,https://api.spotify.com/v1/audio-analysis/0cgwdBXXlPfXJXWf3wMs32,0.355,0.582,225381,0.504,0.0,9,0.86,-8.423,0,0.05,90.899,4,0.428
12,"Ranjha (From ""Shershaah"")",72zHuDxFQTjbL51qJQSA7j,"['Jasleen Royal', 'B Praak', 'Romy', 'Anvita Dutt']","['74OaRjmyh0XyRZsQQQ5l7c', '56SjZARoEvag3RoKWIb16j', '0bRPtPZQkWHeG7MGk9eWlh', '4nJ0kto93jDLHQKmpGeYS8']",75,2021-08-05,2023-03-01T10:20:49Z,72zHuDxFQTjbL51qJQSA7j,https://api.spotify.com/v1/audio-analysis/72zHuDxFQTjbL51qJQSA7j,0.478,0.603,228855,0.573,0.0,1,0.0971,-5.843,1,0.0502,82.941,4,0.236
13,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",2vPrBucKCfKmafHhSfJ2pt,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya', 'Charan']","['1wRPtKGflJrBx9BmLsSwlU', '4YRxDV8wJFPHPTeXepOstw', '2fMqTqiTxUDlmcOEPaQSsx', '3hbwOFtgWSNfeRzF2o7Y65']",71,2023-02-10,2023-03-01T10:20:49Z,2vPrBucKCfKmafHhSfJ2pt,https://api.spotify.com/v1/audio-analysis/2vPrBucKCfKmafHhSfJ2pt,0.138,0.772,216271,0.767,0.0,0,0.557,-4.792,1,0.0381,122.024,4,0.866
14,No Love,08Isz2ETWSBhvIl8UpKYsp,['Shubh'],['5r3wPya2PpeTTsXsGhQU8O'],79,2022-02-22,2023-03-01T10:20:49Z,08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,0.24,0.768,170388,0.487,0.0,4,0.175,-8.936,0,0.0431,137.034,4,0.722
15,Baller,42TMa2hgBNjte4uV7jNCnQ,"['Shubh', 'Ikky']","['5r3wPya2PpeTTsXsGhQU8O', '3nqS8jzqmsPKFJTp0BOIel']",78,2022-09-09,2023-03-01T10:20:49Z,42TMa2hgBNjte4uV7jNCnQ,https://api.spotify.com/v1/audio-analysis/42TMa2hgBNjte4uV7jNCnQ,0.00487,0.711,148188,0.702,0.0163,5,0.0932,-10.048,1,0.233,180.219,4,0.674
16,Mi Amor,24MMjyA3NLqCsDJfsn51eg,"['Sharn', '40k', 'The Paul']","['74RGMjbSsFv5RLj8wVx9Yv', '6nAMu7pGqdwUSsGMZPUvSk', '1i31OYo0s5VoMCaMRJFZkJ']",72,2022-09-30,2023-03-01T10:20:49Z,24MMjyA3NLqCsDJfsn51eg,https://api.spotify.com/v1/audio-analysis/24MMjyA3NLqCsDJfsn51eg,0.53,0.637,203049,0.703,4.23e-06,4,0.11,-5.297,0,0.0789,81.99,4,0.553
17,Chaand Baaliyan,0snQrp1VaY5Pj1YIHRJpRJ,['Aditya A'],['4wwYGgSpeBtvk5WX6HBqzw'],77,2020-03-28,2023-03-01T10:20:49Z,0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,0.796,0.729,103265,0.396,0.0,0,0.104,-8.98,1,0.0359,97.281,4,0.886
18,Players,0MbOLfDcGk8ROHJYXJHu5c,"['Badshah', 'Karan Aujla', 'Devika Badyal']","['0y59o4v8uw5crbN9M3JiL1', '6DARBhWbfcS9E4yJzcliqQ', '0V8aeNb0fnR2P8eZVrx3lI']",63,2023-02-07,2023-03-01T10:20:49Z,0MbOLfDcGk8ROHJYXJHu5c,https://api.spotify.com/v1/audio-analysis/0MbOLfDcGk8ROHJYXJHu5c,0.464,0.833,171273,0.678,0.0,9,0.107,-3.711,0,0.141,109.969,4,0.576
19,Bones,54ipXppHLA8U4yqpOFTUhr,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],83,2022-07-01,2023-03-01T10:20:49Z,54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,0.0201,0.772,165265,0.75,0.0,5,0.074,-3.67,0,0.0455,114.061,4,0.587
20,Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,"['Rema', 'Selena Gomez']","['46pWGuE3dSwY3bMMXGBvVS', '0C8ZW7ezQVs4URX5aX7Kqx']",92,2022-08-25,2023-03-01T10:20:49Z,0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,0.382,0.801,239318,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802
21,SPAIN,4ZVtid5khBfDx6Co0vTUE6,"['Jassa Dhillon', 'thiarajxtt']","['2vJvM1hPBYqDoGBje0kRMd', '54BjV0qctcWp8xOip7uaJD']",71,2023-01-09,2023-03-01T10:20:49Z,4ZVtid5khBfDx6Co0vTUE6,https://api.spotify.com/v1/audio-analysis/4ZVtid5khBfDx6Co0vTUE6,0.324,0.73,104007,0.673,0.0201,6,0.098,-6.625,1,0.0685,90.058,4,0.563
22,Ek Din Pyaar,0uk9sQ7MjK0CdAUinD4xBV,['MC STAN'],['5uemEEtB1ZC3s1KM7gReeH'],73,2020-12-31,2023-03-01T10:20:49Z,0uk9sQ7MjK0CdAUinD4xBV,https://api.spotify.com/v1/audio-analysis/0uk9sQ7MjK0CdAUinD4xBV,0.223,0.717,186600,0.699,0.0,5,0.139,-5.665,0,0.251,100.147,4,0.689
23,"Manike (From ""Thank God"")",0zlGnseLGzRIBA0TJcb3Bo,"['Yohani', 'Jubin Nautiyal', 'Tanishk Bagchi', 'Rashmi Virag', 'Surya Ragunaathan']","['6hyCmqlpgEhkMKKr65sFgI', '1tqysapcCh1lWEAc9dIFpa', '4f7KfxeHq9BiylGmyXepGt', '5r2baeTwcCJnuIsDIlxUJo', '0GiAC4VvvYCypjRH6IiasK']",78,2022-09-16,2023-03-01T10:20:49Z,0zlGnseLGzRIBA0TJcb3Bo,https://api.spotify.com/v1/audio-analysis/0zlGnseLGzRIBA0TJcb3Bo,0.522,0.551,197474,0.578,0.0,1,0.073,-7.005,0,0.0732,106.772,4,0.509
24,52 Bars,6rFckZb1cuJYzsZiGHgqks,"['Karan Aujla', 'Ikky']","['6DARBhWbfcS9E4yJzcliqQ', '3nqS8jzqmsPKFJTp0BOIel']",75,2023-02-04,2023-03-01T10:20:49Z,6rFckZb1cuJYzsZiGHgqks,https://api.spotify.com/v1/audio-analysis/6rFckZb1cuJYzsZiGHgqks,0.000898,0.449,214024,0.779,0.0,1,0.389,-3.321,0,0.205,115.231,3,0.433
25,Moon Rise,3oWv5qDKYN7MH6FdlglMN5,"['Guru Randhawa', 'Sanjoy']","['5rQoBDKFnd1n6BkdbgVaRL', '6qjhYs5KNSoSU6fNJqDGIo']",75,2022-08-22,2023-03-01T10:20:49Z,3oWv5qDKYN7MH6FdlglMN5,https://api.spotify.com/v1/audio-analysis/3oWv5qDKYN7MH6FdlglMN5,0.365,0.756,174057,0.713,0.000153,3,0.228,-6.91,0,0.122,92.039,4,0.597
26,Starboy,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']","['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']",88,2016-11-25,2023-03-01T10:20:49Z,7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
27,"Raataan Lambiyan (From ""Shershaah"")",2rOnSn2piaqLAlYjtfUBlY,"['Tanishk Bagchi', 'Jubin Nautiyal', 'Asees Kaur']","['4f7KfxeHq9BiylGmyXepGt', '1tqysapcCh1lWEAc9dIFpa', '1sVmXkzX2ukc6QvasrDBES']",74,2021-07-30,2023-03-01T10:20:49Z,2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,0.615,0.72,230292,0.63,0.0,10,0.108,-5.549,1,0.0413,81.009,4,0.512
28,"Agar Tum Saath Ho (From ""Tamasha"")",2FCXQHugkoHE1K3tiDu8pu,"['Alka Yagnik', 'Arijit Singh']","['3gBKY0y3dFFVRqicLnVZYz', '4YRxDV8wJFPHPTeXepOstw']",72,2017-06-07,2023-03-01T10:20:49Z,2FCXQHugkoHE1K3tiDu8pu,https://api.spotify.com/v1/audio-analysis/2FCXQHugkoHE1K3tiDu8pu,0.557,0.562,341055,0.519,0.000268,3,0.172,-8.744,1,0.0326,122.925,4,0.415
29,Unholy (feat. Kim Petras),0NZPBYD5qbEWRs3PrGiRkT,"['Sam Smith', 'Kim Petras']","['2wY79sveU1sp5g7SokKOiI', '3Xt3RrJMFv5SZkCfUE8C1J']",83,2023-01-27,2023-03-01T10:20:49Z,0NZPBYD5qbEWRs3PrGiRkT,https://api.spotify.com/v1/audio-analysis/0NZPBYD5qbEWRs3PrGiRkT,0.011,0.712,156943,0.463,2.96e-06,2,0.301,-7.399,1,0.0797,131.199,4,0.206
30,Baarishein,5iCY0TXNImK4hyKfcplQsg,['Anuv Jain'],['4gdMJYnopf2nEUcanAwstx'],75,2018-01-12,2023-03-01T10:20:49Z,5iCY0TXNImK4hyKfcplQsg,https://api.spotify.com/v1/audio-analysis/5iCY0TXNImK4hyKfcplQsg,0.926,0.475,207310,0.124,0.0,2,0.0972,-9.463,1,0.0444,94.42,4,0.19
31,Kyun Dhunde,7gFzBppKTiKAs38SWOjbO6,['Vilen'],['5gVozagAcRKYCeAVnlC3Nk'],72,2022-07-18,2023-03-01T10:20:49Z,7gFzBppKTiKAs38SWOjbO6,https://api.spotify.com/v1/audio-analysis/7gFzBppKTiKAs38SWOjbO6,0.766,0.711,70435,0.346,0.0,7,0.212,-10.162,1,0.0291,91.993,4,0.771
32,Excuses,29m79w9xPMH4YCD6r8JSmV,"['AP Dhillon', 'Gurinder Gill', 'Intense']","['6LEG9Ld1aLImEFEVHdWNSB', '5DHi2MeoRgAwPE0A0qwRMl', '0OS0NZnK7TGIAWx8MkWNFN']",76,2020-07-24,2023-03-01T10:20:49Z,29m79w9xPMH4YCD6r8JSmV,https://api.spotify.com/v1/audio-analysis/29m79w9xPMH4YCD6r8JSmV,0.0842,0.837,176233,0.717,0.0,5,0.149,-7.749,0,0.0822,94.984,4,0.494
33,KALESHI CHORI,6FrihRowEuYfNehH0zcx0e,"['DG IMMORTALS', 'Raga', 'Harjas Harjaayi', 'VIRTUAL_AF', 'DARK HORSE']","['7jbG8tDQ5FmqBbTCj5dJdy', '4MJZBb8KABfKw0gzfgacpO', '3ioOEaiQ1Zw6RMCesOOWfZ', '1Ik6g05IoSfFmpqi4Jg7Kc', '4v9G79IPGEpwTbgB6TUUaY']",67,2023-01-15,2023-03-01T10:20:49Z,6FrihRowEuYfNehH0zcx0e,https://api.spotify.com/v1/audio-analysis/6FrihRowEuYfNehH0zcx0e,0.0421,0.888,211000,0.717,6.19e-05,0,0.0986,-3.088,1,0.214,90.99,4,0.839
34,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,"['Stephen Sanchez', 'Em Beihold']","['5XKFrudbV4IiuE5WuTPRmT', '7o2ZQYM7nTsaVdkXY38UAA']",89,2022-04-22,2023-03-01T10:20:49Z,1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,0.777,0.551,176440,0.55,0.0,10,0.202,-5.339,1,0.0286,101.19,3,0.342
35,People,26b3oVLrRUaaybJulow9kz,['Libianca'],['7kjSuFGKhLm8b5qXoMhRkJ'],86,2022-12-06,2023-03-01T10:20:49Z,26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,0.551,0.573,184791,0.422,1.31e-05,10,0.102,-7.621,0,0.0678,124.357,5,0.693
36,Rubicon Drill,03yKEFruN3BS2coglBtt2N,"['Laddi Chahal', 'Parmish Verma', 'Gurlez Akhtar']","['3lmszXxkp47K9kDCRRPU8p', '3OQRPFFS3OsltFjFAXu1kE', '55kkrbuMkdzPGD7YGA6xrJ']",73,2022-11-16,2023-03-01T10:20:49Z,03yKEFruN3BS2coglBtt2N,https://api.spotify.com/v1/audio-analysis/03yKEFruN3BS2coglBtt2N,0.187,0.868,188571,0.745,0.000342,11,0.431,-5.82,0,0.268,139.9,4,0.762
37,Take It Easy,5si4xdFplkXAydKfFe1xXa,"['Karan Aujla', 'Ikky']","['6DARBhWbfcS9E4yJzcliqQ', '3nqS8jzqmsPKFJTp0BOIel']",72,2023-02-04,2023-03-01T10:20:49Z,5si4xdFplkXAydKfFe1xXa,https://api.spotify.com/v1/audio-analysis/5si4xdFplkXAydKfFe1xXa,0.144,0.64,210361,0.707,0.0,1,0.399,-4.803,1,0.0541,82.973,4,0.411
38,Mastaaru Mastaaru,59eeV0SIeyd431uyjAWCRe,"['G. V. Prakash', 'Shweta Mohan']","['5VVN3xZw1i2qihfITZlvCZ', '1rdQOMFFtoskDXXUVjiGo9']",67,2022-11-10,2023-03-01T10:20:49Z,59eeV0SIeyd431uyjAWCRe,https://api.spotify.com/v1/audio-analysis/59eeV0SIeyd431uyjAWCRe,0.385,0.594,225425,0.534,0.0,9,0.877,-8.007,0,0.0428,91.082,4,0.364
39,Elevated,2AilvPt1AQ8PixlCKqkjfj,['Shubh'],['5r3wPya2PpeTTsXsGhQU8O'],74,2021-10-22,2023-03-01T10:20:49Z,2AilvPt1AQ8PixlCKqkjfj,https://api.spotify.com/v1/audio-analysis/2AilvPt1AQ8PixlCKqkjfj,0.214,0.828,200659,0.533,2.8e-05,6,0.307,-5.779,0,0.091,93.021,4,0.605
40,Pasoori,7lvDsmTRXFE3dK4OjvRiWB,"['Shae Gill', 'Ali Sethi']","['3bWIy9AUrQdiNeS62Bp3OP', '3NegWDGp038A3FIi3gSYzl']",76,2022-02-07,2023-03-01T10:20:49Z,7lvDsmTRXFE3dK4OjvRiWB,https://api.spotify.com/v1/audio-analysis/7lvDsmTRXFE3dK4OjvRiWB,0.0657,0.714,224147,0.596,0.0,11,0.0625,-6.206,0,0.043,91.991,4,0.669
41,Perfect,0tgVpDi06FyKpA1z0VMD4v,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],85,2017-03-03,2023-03-01T10:20:49Z,0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
42,Mockingbird,561jH07mF1jHuk7KlaeF0s,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],89,2004-11-12,2023-03-01T10:20:49Z,561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,0.209,0.637,250760,0.678,0.0,0,0.156,-3.798,1,0.266,84.039,4,0.254
43,Channa Ve,58ynJq9eLLDChA3GNFJcDL,"['Akhil Sachdeva', 'Mansheel Gujral']","['3TOhzLRYnkkul71yRBxIoM', '7zfceKY7I04Tc0J2o7043h']",72,2020-02-12,2023-03-01T10:20:49Z,58ynJq9eLLDChA3GNFJcDL,https://api.spotify.com/v1/audio-analysis/58ynJq9eLLDChA3GNFJcDL,0.666,0.676,211579,0.696,0.0,9,0.0931,-6.68,1,0.0452,94.945,4,0.606
44,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,['Vishal Mishra'],['5wJ1H6ud777odtZl5gG507'],69,2019-06-13,2023-03-01T10:20:49Z,1y1rQTkWmrZdJmjwuK07GC,https://api.spotify.com/v1/audio-analysis/1y1rQTkWmrZdJmjwuK07GC,0.452,0.385,234722,0.464,0.0,2,0.109,-6.975,1,0.0404,137.839,4,0.15
45,"Maiyya Mainu (From ""Jersey"")",4PwTeFfKqmR3XIeXXUBDOf,"['Sachet-Parampara', 'Sachet Tandon']","['1SyKki7JI1AZNKwgNMkn25', '6WOdPJmexxFINcKMkP2jMG']",75,2021-12-08,2023-03-01T10:20:49Z,4PwTeFfKqmR3XIeXXUBDOf,https://api.spotify.com/v1/audio-analysis/4PwTeFfKqmR3XIeXXUBDOf,0.194,0.63,231576,0.739,0.0,0,0.113,-3.942,1,0.0248,109.985,4,0.224
46,Basti Ka Hasti,3k9PtGmPNnQtt32TKWm6f3,['MC STAN'],['5uemEEtB1ZC3s1KM7gReeH'],73,2022-02-18,2023-03-01T10:20:49Z,3k9PtGmPNnQtt32TKWm6f3,https://api.spotify.com/v1/audio-analysis/3k9PtGmPNnQtt32TKWm6f3,0.156,0.726,195429,0.624,0.0,9,0.601,-7.741,1,0.382,139.594,4,0.421
47,We Rollin,6ZYxNjuAU9Vy3VtF6W1dtE,['Shubh'],['5r3wPya2PpeTTsXsGhQU8O'],75,2021-09-09,2023-03-01T10:20:49Z,6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,0.261,0.82,199206,0.504,7e-06,4,0.104,-9.113,0,0.141,85.016,4,0.275
48,Under The Influence,5IgjP7X4th6nMNDh4akUHb,['Chris Brown'],['7bXgB6jMjp9ATFy66eO08Z'],88,2019-10-04,2023-03-01T10:20:49Z,5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,0.0635,0.733,184613,0.69,1.18e-06,9,0.105,-5.529,0,0.0427,116.992,4,0.31
49,"Ranjithame (From ""Varisu"")",1LbBOhicFmu7ktJqIHCELt,"['Thalapathy Vijay', 'M.M.Manasi', 'Thaman S']","['0fhunuOz2OuOEr3YK5ctSm', '3JGrxsZ6kfzJrfwsxwERhS', '2FgHPfRprDaylrSRVf1UlN']",76,2022-11-05,2023-03-01T10:20:49Z,1LbBOhicFmu7ktJqIHCELt,https://api.spotify.com/v1/audio-analysis/1LbBOhicFmu7ktJqIHCELt,0.666,0.545,287081,0.98,0.00709,9,0.0788,-6.464,1,0.129,124.96,4,0.658
